Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб сайт 1,Веб сайт 2,Веб сайт 3,Twitter,ВКонтакте,YouTube,Skype,Широта,Долгота,2GIS URL
South Pappers,тату-салон,Тату-салоны,"Дзержинского, 68",3 этаж,352900,Центр,,Армавир,Армавир городской округ,Краснодарский край,Россия,Пн: 12:00-20:00; Вт: 12:00-20:00; Ср: 12:00-20:00; Чт: 12:00-20:00; Пт: 12:00-20:00; Сб: 12:00-20:00; Вс: 12:00-20:00,89182600280,,,,,,,,,https://vk.com/asultanov86,,,44.997712,41.132614,https://2gis.com/firm/70000001020964869
Школа-студия Ирины Дёминой,,Обучение мастеров для салонов красоты; Косметика / расходные материалы для салонов красоты; Услуги по уходу за ресницами / бровями; Услуги косметолога; SPA-процедуры; Украшения для пирсинга; Тату-салоны; Эпиляция; Оборудование для салонов красоты; Косметика / Парфюмерия,"Комсомольская, 115",3 этаж,352900,Оптика,,Армавир,Армавир городской округ,Краснодарский край,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00,89186299986,89298496961,,,,,,,,,,,45.002112,41.126278,https://2gis.com/firm/70000001025803934
Vainer tattoo studio and Barbershop,тату-студия,Тату-салоны; Услуги косметолога; Барбершопы,"Троицкий проспект, 12",цокольный этаж,,,,Архангельск,Архангельск городской округ,Архангельская область,Россия,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00 (по предварительной записи: пн-сб),89600026866,,,vayner_93@icloud.com,,http://vk.link/vainertattoo,,,,https://vk.com/vainertattoo,,,64.532699,40.531784,https://2gis.com/firm/70000001018266845
Tattoo Family,студия художественной татуировки,Тату-салоны; Косметика / расходные материалы для салонов красоты,"Логинова, 33",1 этаж,163071,,,Архангельск,Архангельск городской округ,Архангельская область,Россия,Пн: 12:00-19:00; Вт: 12:00-19:00; Ср: 12:00-19:00; Чт: 12:00-19:00; Пт: 12:00-19:00; Сб: 12:00-19:00; Вс: 12:00-19:00 (по предварительной записи: вс),88182472227,,,tattoofamilyrussia@gmail.com,,,,,,https://vk.com/tattoofamily,,,64.54806,40.536822,https://2gis.com/firm/6896665210555315
Крылья,студия красоты,SPA-процедуры; Косметика / расходные материалы для салонов красоты; Услуги косметолога; Услуги массажиста; Услуги по уходу за ресницами / бровями; Эпиляция; Тату-салоны,"Дачная, 50",1 этаж,163015,,,Архангельск,Архангельск городской округ,Архангельская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,89115943303,,,,,,,,,https://vk.com/arch_krylia,,,64.517809,40.665886,https://2gis.com/firm/70000001036965275
Мама против,тату-студия,Тату-салоны; Косметика / расходные материалы для салонов красоты; Услуги по уходу за ресницами / бровями; Услуги косметолога,"проспект Дзержинского, 13",1 этаж,163051,,,Архангельск,Архангельск городской округ,Архангельская область,Россия,Пн: 12:00-21:00; Вт: 12:00-21:00; Ср: 12:00-21:00; Чт: 12:00-21:00; Пт: 12:00-21:00; Сб: 12:00-21:00; Вс: 12:00-21:00,89022862533,,,,,http://mama-protiv.ru,,,,https://vk.com/tattoo_mama_protiv,,,64.55028,40.56977,https://2gis.com/firm/70000001024940973
Mon Ami,студия красоты,Парикмахерские; Тату-салоны; Услуги косметолога; Услуги визажиста; Услуги по уходу за ресницами / бровями,"набережная Северной Двины, 71 к1",1 этаж,163069,,,Архангельск,Архангельск городской округ,Архангельская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,88182442426,88182445676,,,,,,,,https://vk.com/monami_arh,,,64.53285,40.522696,https://2gis.com/firm/70000001023907842
Степень Свободы,тату-студия,Тату-салоны; Парикмахерские; Косметика / расходные материалы для салонов красоты,"проспект Чумбарова-Лучинского, 29",1 этаж,163069,,,Архангельск,Архангельск городской округ,Архангельская область,Россия,Пн: 12:00-18:00; Вт: 12:00-18:00; Ср: 12:00-18:00; Чт: 12:00-18:00; Пт: 12:00-18:00; Сб: 12:00-18:00; Вс: 12:00-18:00 (по предварительной записи: пн-вс),89626612782,,,,,,,,,https://vk.com/stepensvobodi,,,64.534754,40.528309,https://2gis.com/firm/70000001026144509
Tattoo studio,,Тату-салоны,"Тимме, 28 к2",1 этаж; 1 подъезд,163051,,,Архангельск,Архангельск городской округ,Архангельская область,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00 (по предварительной записи: пн-вс),89657317848,,,,,,,,,https://vk.com/drozdovtattooarh,,,64.554128,40.556751,https://2gis.com/firm/70000001042882464
Implant Grade Tattoo & Piercing studio,студия тату и пирсинга,Тату-салоны; Украшения для пирсинга; Услуги косметолога,"Поморская, 39",цокольный этаж,163046,,,Архангельск,Архангельск городской округ,Архангельская область,Россия,Пн: 12:00-18:00; Вт: 12:00-18:00; Ср: 12:00-18:00; Чт: 12:00-18:00; Пт: 12:00-18:00; Сб: 12:00-18:00 (по предварительной записи: пн-сб),,,,,,,,,,https://vk.com/impiantgrade29,,,64.537801,40.529223,https://2gis.com/firm/70000001019135126
ROOM 416,,Барбершопы; Косметика / расходные материалы для салонов красоты; Студии звукозаписи; Тату-салоны,"Новгородский проспект, 32",B корпус; 416 офис; 4 этаж,163002,,,Архангельск,Архангельск городской округ,Архангельская область,Россия,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00,89991683716,,,,,,,,,https://vk.com/inroom416,,,64.53325,40.553864,https://2gis.com/firm/70000001044451117
Premium Permanent,студия макияжа,Тату-салоны; Услуги косметолога; Услуги по уходу за ресницами / бровями; Обучение мастеров для салонов красоты,"набережная Северной Двины, 52",1 этаж,163000,,,Архангельск,Архангельск городской округ,Архангельская область,Россия,,89815550155,,,,,,,,,,,,64.530352,40.529874,https://2gis.com/firm/70000001051332601
A sh salone,студия красоты,Услуги по уходу за ресницами / бровями; Обучение мастеров для салонов красоты; Тату-салоны,"Троицкий проспект, 119",424 офис; 4 этаж,163001,,,Архангельск,Архангельск городской округ,Архангельская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 12:00-20:00; Вс: 12:00-20:00 (по предварительной записи: пн-вс),89062838394,,,,,,,,,https://vk.com/club11916191,,,64.555172,40.521084,https://2gis.com/firm/70000001023146435
Brovi Brovi,студия,Обучение мастеров для салонов красоты; Тату-салоны; Услуги косметолога; Услуги по уходу за ресницами / бровями,"Троицкий проспект, 3",3 этаж,,,,Архангельск,Архангельск городской округ,Архангельская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00 (по предварительной записи: пн-вс),89216735262,,,,,http://brovibrovi.ru,,,,https://vk.com/brovibrovi_ru,,,64.531443,40.532028,https://2gis.com/firm/70000001055299454
ADAMS PM,салон красоты,Обучение мастеров для салонов красоты; Тату-салоны; Услуги косметолога; Услуги по уходу за ресницами / бровями,"набережная Северной Двины, 112 к2",2 этаж,163000,,,Архангельск,Архангельск городской округ,Архангельская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00 (по предварительной записи: пн-вс),89523034444,,,,,,,,,https://vk.com/adamspm29,,,64.553128,40.516982,https://2gis.com/firm/70000001046745457
Natasha Shilova,кабинет красоты,Тату-салоны,"Карла Либкнехта, 8",17 офис; 2 этаж,163069,,,Архангельск,Архангельск городской округ,Архангельская область,Россия,,89212411829,,,,,,,,,https://vk.com/natasha_shilova_pm,,,64.536543,40.519469,https://2gis.com/firm/70000001048477491
KOSHKINA Tattoo,тату-студия,Тату-салоны,"Северодвинская, 9",6 офис; 3 этаж,,,,Архангельск,Архангельск городской округ,Архангельская область,Россия,,,,,,,,,,,https://vk.com/tattookoshkina,,,64.53029,40.548084,https://2gis.com/firm/70000001043270263
FIL TATTOO STUDIO,студия татуировки,Тату-салоны,"проспект Ломоносова, 15 к1",12 офис; 2 этаж,163002,,,Архангельск,Архангельск городской округ,Архангельская область,Россия,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00 (по предварительной записи: пн-пт),89022865161,88182475161,,,,,,,,https://vk.com/filltattoo,,,64.528958,40.56066,https://2gis.com/firm/6896665210558591
Массажный кабинет,,Услуги косметолога; Услуги массажиста; SPA-процедуры; Обучение массажистов; Тату-салоны; Эпиляция,"Урицкого, 17",402 офис; 4 этаж,163002,,,Архангельск,Архангельск городской округ,Архангельская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00 (по предварительной записи: пн-вс),89522590770,,,,,,,,,https://vk.com/valia1954,,,64.532334,40.561106,https://2gis.com/firm/6896666210999220
Zarinas tattoo,студия художественной татуировки,Тату-салоны,"проспект Ломоносова, 135",405 офис; 4 этаж,163000,,,Архангельск,Архангельск городской округ,Архангельская область,Россия,Пн: 12:00-20:00; Вт: 12:00-20:00; Ср: 12:00-20:00; Чт: 12:00-20:00; Пт: 12:00-20:00; Сб: 12:00-20:00; Вс: 12:00-20:00 (по предварительной записи: пн-вс),88182475166,89532677159,,,,,,,,https://vk.com/zarinas_tattoo,,,64.538931,40.524688,https://2gis.com/firm/70000001027064156
GORILLA,тату-студия,Тату-салоны,"проспект Советских Космонавтов, 76",,163046,,,Архангельск,Архангельск городской округ,Архангельская область,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (по предварительной записи: пн-вс),89116858313,,,,,,,,,https://vk.com/gorilla,,,64.540161,40.535523,https://2gis.com/firm/70000001020909004
ARTDECOR,студия,Ногтевые студии; Тату-салоны; Эпиляция,"Индустриальная, 53",1 этаж,164501,,,Северодвинск,Северодвинск городской округ,Архангельская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00 (по предварительной записи: пн-вс),89600187878,,,,,http://artdecor.studio,,,,https://vk.com/artdecor.sevsk,,,64.560974,39.825515,https://2gis.com/firm/70000001021530929
Stukova.studio,,Услуги визажиста; Услуги по уходу за ресницами / бровями; Ногтевые студии; Парикмахерские; Тату-салоны,"бульвар Строителей, 5",,164522,Квартал А,,Северодвинск,Северодвинск городской округ,Архангельская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00 (по предварительной записи: пн-вс),89212418181,,,,,,,,,https://vk.com/stukovastudio,,,64.550064,39.75208,https://2gis.com/firm/70000001056991576
Mango,студия художественной татуировки,Тату-салоны,"Республиканская, 7",4 офис; цокольный этаж,164520,,,Северодвинск,Северодвинск городской округ,Архангельская область,Россия,"Пн: 15:00-20:00; Вт: 12:00-17:00; Чт: 15:00-20:00; Пт: 12:00-17:00 (по предварительной записи: пн-вт, чт-пт)",,,,,,,,,,https://vk.com/mangotattoo,,,64.565661,39.85195,https://2gis.com/firm/70000001052940987
Tattoo Studio 28,студия татуировки,Тату-салоны,"Ломоносова, 50а",3 офис; 1 этаж,164501,,,Северодвинск,Северодвинск городской округ,Архангельская область,Россия,Пн: 11:00-19:00; Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 11:00-19:00; Вс: 11:00-19:00,89815606669,,,,,,,,,https://vk.com/tattoostudio28,https://youtube.com/channel/UCeQW1kWAoPV6vKLoTY6BL-A,,64.55825,39.824394,https://2gis.com/firm/6896665210618180
Diamond beauty,салон красоты,Парикмахерские; Ногтевые студии; Услуги по уходу за ресницами / бровями; Услуги косметолога; Тату-салоны,"Первомайская, 61",1 этаж,164500,,,Северодвинск,Северодвинск городской округ,Архангельская область,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 10:00-19:00; Вс: 10:00-18:00,88184530555,89600056669,,,,,,,,,,,64.562199,39.789498,https://2gis.com/firm/70000001057019516
Для молодых и горячих,тату-студия,Тату-салоны,"Лесная, 25",6 офис; мансардный этаж,164521,,,Северодвинск,Северодвинск городской округ,Архангельская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,89116878443,,,,,,,,,https://vk.com/max_chicago,,,64.561814,39.842236,https://2gis.com/firm/70000001022478953
PT.TATTOOING,,Тату-салоны,"Юбилейная, 20",,,,,Северодвинск,Северодвинск городской округ,Архангельская область,Россия,Пн: 12:00-21:00; Вт: 12:00-21:00; Ср: 12:00-21:00; Чт: 12:00-21:00; Пт: 12:00-21:00; Сб: 12:00-21:00; Вс: 12:00-21:00,,,,,,,,,,,,,64.543235,39.805337,https://2gis.com/firm/70000001057731245
Ant Tattoo,студия художественной татуировки,Тату-салоны; Художественные мастерские,"проспект Победы, 44а",1 этаж,164502,Квартал И,,Северодвинск,Северодвинск городской округ,Архангельская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (по предварительной записи: пн-вс),89522520180,,,,,,,,,https://vk.com/id652161363,,,64.539708,39.808334,https://2gis.com/firm/70000001038871370
MakeUp24,кабинет перманентного макияжа,Услуги по уходу за ресницами / бровями; Услуги косметолога; Тату-салоны; Обучение мастеров для салонов красоты; Услуги визажиста,"Профсоюзная, 11а",204 кабинет; 2 этаж; левое крыло,164520,,,Северодвинск,Северодвинск городской округ,Архангельская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00 (по предварительной записи: пн-вс),89116810216,,,,,,,,,https://vk.com/sysoeva_pmu29,,,64.563608,39.838502,https://2gis.com/firm/70000001057650675
Plain Day,,Тату-салоны,"Южная, 134",,164504,,,Северодвинск,Северодвинск городской округ,Архангельская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,,,,,,,,,,,,,64.553717,39.822244,https://2gis.com/firm/70000001046359713
Дровосекъ,цирюльня,Барбершопы; Тату-салоны,"улица Гагарина, 1а",,,,,Мирный,ЗАТО Мирный городской округ,Архангельская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00 (по предварительной записи: пн-вс),89022854882,,,,,,,,,,,,62.758283,40.329872,https://2gis.com/firm/70000001047757670
Резонанс,тату-салон,Тату-салоны; Услуги по уходу за ресницами / бровями; Обучение мастеров для салонов красоты,"Космонавтов, 2 к1",,414057,Юго-Восток-2 м-н,Советский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,89033486823,,,icook22@mail.ru,,http://rezonanstattoo.ru/?utm_source=2gis,,,,https://vk.com/rezonanstattoo,,,46.332261,48.050386,https://2gis.com/firm/70000001007389333
Честь,тату-барбер клуб,Барбершопы; Тату-салоны; Косметика / расходные материалы для салонов красоты; Услуги косметолога,"Эспланадная, 19",,414000,,Кировский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,89379000066,,,,,http://4estclub.ru,,,,https://vk.com/4est_club,,,46.352244,48.038359,https://2gis.com/firm/70000001033630299
